Rank,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
405,Jeff Green,33,UTA,553,9.683089799,2.7,12.6,7.8,1,1.6,5.2,19.7,0.108,0.523,1.2,-5.9,-0.5,1.6,-2.1,-3.3,3.2,PF
406,Frank Mason III,25,MIL,118,3.806637483,4.5,11.1,8,2,0.7,35,24.3,0.158,0.53,5.1,0.4,0.1,0.6,4,2.5,3.2,PG
407,Dwayne Bacon,24,CHO,687,11.11400269,2.3,14.4,8,1.6,0.3,11.7,19.5,0.122,0.419,0.1,-8.7,-1.2,0.8,-6.4,-5,3.1,SG
408,Troy Daniels,28,LAL,456,6.476928745,2.7,8.1,5.3,0.8,0.6,4.1,16.1,0.052,0.527,1.6,-4.6,-0.3,0.6,-0.5,-0.3,3.1,SG
409,Caleb Martin,24,CHO,317,6.246857143,3.3,10.3,6.6,1.9,2.1,11.1,15,0.139,0.595,6.1,-2.7,-0.1,0.4,-0.3,-0.1,3.1,SF
410,Johnathan Williams,24,WAS,180,4.811637462,13.8,24.5,19,0.3,3.7,5.9,10.3,0.112,0.566,5.1,-2.1,0,0.4,3.3,1.3,3.1,C
411,Gary Clark,25,HOU,212,4.378608247,5.7,14.7,10.2,0.5,2.8,7.7,12.5,0.031,0.564,5.9,0,0.1,0.6,2.8,1.6,3,PF
412,Garrison Mathews,23,WAS,227,3.938877114,2.7,8.7,5.6,1.7,0.4,5.8,14.5,0.101,0.691,6.3,-0.9,0.1,0.5,4.2,2.1,3,SG
413,John Henson,29,DET,188,5.640671368,7.5,19.9,13.4,1.9,4.8,9.3,16.7,0.209,0.67,7.4,-0.1,0.1,0.2,0.9,0.2,2.9,PF
414,Ante Žižić,23,CLE,221,5.781678447,8.4,24.1,15.9,1.5,2,4.2,17.5,0.111,0.597,2.4,-4.6,-0.1,0,0.8,0,2.9,C
415,Nicolas Claxton,20,BRK,187,4.754012579,12,13.9,13,0.3,3.9,12.4,14.8,0.136,0.577,6.5,2.2,0.2,0.2,3.2,0.8,2.8,PF
416,Chris Clemons,22,HOU,291,6.590509398,1.5,9.6,5.6,1.5,1.8,14.3,23.6,0.115,0.548,3.4,-2.5,0,0.8,-1.2,-1,2.8,SG
417,Tyler Johnson,27,PHO,515,8.639816728,2,8.8,5.4,1.1,1.3,13.3,17.3,0.115,0.481,1.6,-4.3,-0.3,1.1,-2.8,-3,2.8,SG
418,Cameron Payne,25,PHO,183,5.017712999,2.3,15.9,9,2.1,0.9,19.5,19.1,0.134,0.612,6.9,1,0.1,0.4,1.5,0.6,2.8,PG
419,Norvel Pelle,26,PHI,232,6.295778434,9.2,24.5,16.7,0.6,12,4.6,13.4,0.249,0.526,5.2,-1.9,0,0.5,-1.5,-0.7,2.8,C
420,Allonzo Trier,24,NYK,291,5.718461736,2.1,8.4,5.1,0.5,1.1,14.8,21.4,0.15,0.62,3.6,-5.5,-0.3,0.3,-0.4,-0.1,2.8,PG
421,Justise Winslow,23,MIA,352,7.286850653,5.2,17,11.3,1,1.3,18.7,20.6,0.146,0.44,2.4,-3.6,-0.1,0.8,-2,-1.7,2.8,SF
422,Trey Burke,27,DAL,191,5.002524182,0.6,7.9,4.4,2.6,0.5,23.2,21.4,0.094,0.553,5.2,1.8,0.2,0.5,0.6,0.3,2.7,PG
423,Tyler Johnson,27,BRK,194,4.51257064,4.9,8.6,6.8,1.1,0.5,18.6,19.8,0.054,0.552,6.4,2.1,0.2,0.3,3.4,0.9,2.7,SG
424,T.J. Leaf,22,IND,222,5.944766982,12.1,24,18.2,2.3,1.5,5.7,20,0.079,0.451,1.4,-4.2,-0.1,0.5,-1.3,-0.6,2.7,PF
425,Theo Pinson,24,BRK,365,7.529338929,3.2,12.6,8.2,2.6,1,21.7,22.3,0.169,0.37,0.9,-3.4,-0.1,0.5,-4.5,-2.2,2.7,SG
426,Stephen Curry,31,GSW,139,5.303068493,2.9,17.3,9.8,1.6,1.2,42.3,33.6,0.146,0.557,12.5,3.3,0.2,0.1,-0.7,-0.1,2.6,PG
