,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
44,Seth Curry,29,DAL,173,2.9961884057971013,1.2,5.8,3.5,1.7,0.0,6.8,15.7,0.127,0.697,4.9,-12.7,-0.5,0.0,-0.3,-0.0,1.5,SG
45,Troy Daniels,28,DEN,25,0.31355465587044534,4.5,9.6,7.0,0.0,0.0,11.7,18.0,0.0,0.405,-1.7,9.1,0.1,0.0,-4.6,-0.0,0.2,SG
46,Anthony Davis,26,LAL,275,13.794518080509437,9.8,25.2,17.5,2.0,4.1,20.3,29.7,0.079,0.665,14.6,12.2,1.0,0.1,7.0,0.5,7.1,PF
47,Terence Davis,22,TOR,84,1.6367431421446386,2.5,14.6,8.3,0.6,0.0,12.9,19.9,0.158,0.67,4.2,12.1,0.3,0.0,2.1,0.0,0.8,SG
48,Hamidou Diallo,21,OKC,25,0.7480568181818182,8.7,16.1,12.6,0.0,9.8,6.7,27.7,0.124,0.462,1.5,-10.0,-0.1,0.0,-3.1,-0.0,0.4,SF
49,Donte DiVincenzo,23,MIL,165,3.6728561872909697,5.1,15.9,10.4,2.1,2.0,10.6,18.2,0.143,0.552,4.8,11.4,0.6,0.1,0.6,0.0,1.8,SG
50,Luka Dončić,20,DAL,215,9.662840163934426,2.0,28.3,15.0,1.6,1.2,42.7,37.5,0.166,0.596,13.0,-4.6,-0.1,0.0,-1.4,-0.0,4.8,PG
51,Luguentz Dort,20,OKC,175,2.1379854721549636,3.1,9.8,6.6,0.6,4.2,5.7,24.0,0.154,0.454,0.6,-10.9,-0.4,0.0,-5.6,-0.1,1.0,SG
52,PJ Dozier,23,DEN,91,1.2477596302003082,1.2,15.8,8.3,0.6,1.1,13.8,16.0,0.188,0.462,-0.8,10.0,0.3,0.0,-5.8,-0.1,0.6,PG
53,Goran Dragić,33,MIA,312,8.27016796782588,3.9,10.4,7.3,1.8,0.3,24.9,27.2,0.106,0.562,6.5,6.3,0.7,0.1,1.5,0.2,4.2,PG
54,Jared Dudley,34,LAL,18,0.29600000000000004,0.0,12.4,6.2,8.1,0.0,0.0,9.5,0.5,0.0,-0.3,-2.7,-0.0,0.0,-19.2,-0.1,0.1,SF
55,Carsen Edwards,21,BOS,3,0.048,0.0,34.4,18.4,0.0,0.0,0.0,0.0,0.0,0.0,-5.1,-3.0,-0.0,0.0,-20.1,-0.0,0.0,SG
56,Joel Embiid,25,PHI,145,5.533152460984393,8.0,28.9,18.2,2.1,3.2,7.5,34.6,0.13,0.6,6.5,-50.9,-1.8,0.0,0.5,0.0,2.8,C
57,James Ennis,29,ORL,119,2.2208501026694045,4.9,20.9,12.5,2.0,1.7,7.5,16.1,0.133,0.449,3.0,-26.0,-0.7,0.0,-4.3,-0.0,1.1,SF
58,Tacko Fall,24,BOS,3,0.14374468085106382,0.0,34.4,18.4,0.0,0.0,0.0,28.2,0.0,0.798,-3.1,-1.0,0.0,0.0,10.5,0.0,0.1,C
59,Terrance Ferguson,21,OKC,42,0.2774545454545454,2.6,7.2,5.0,1.2,0.0,3.4,12.3,0.083,0.273,-1.8,-13.3,-0.1,0.0,-9.9,-0.1,0.1,SF
60,Dorian Finney-Smith,26,DAL,191,4.1050627306273055,6.8,12.7,9.7,1.8,1.4,13.4,14.2,0.142,0.563,7.4,-10.2,-0.4,0.0,-1.5,-0.0,2.1,PF
